competition_id;competition_name;season;season_label;fixture_id;date;round;team_id;team_name;home_away;opponent_id;opponent_name;opponent_logo;goals_for;goals_against;score;result;recency_order
61;Ligue 1;2022;2022-2023;871819;2023-05-14T14:30:00+00:00;Regular Season - 35;83;Nantes;away;96;Toulouse;https://media.api-sports.io/football/teams/96.png;0;0;0-0;N;4
61;Ligue 1;2022;2022-2023;871804;2023-05-07T13:00:00+00:00;Regular Season - 34;83;Nantes;home;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;0;2;0-2;D;5
61;Ligue 1;2022;2022-2023;871845;2023-06-03T19:00:00+00:00;Regular Season - 38;84;Nice;home;80;Lyon;https://media.api-sports.io/football/teams/80.png;3;1;3-1;V;1
61;Ligue 1;2022;2022-2023;871833;2023-05-27T19:00:00+00:00;Regular Season - 37;84;Nice;away;82;Montpellier;https://media.api-sports.io/football/teams/82.png;3;2;3-2;V;2
61;Ligue 1;2022;2022-2023;871825;2023-05-21T13:00:00+00:00;Regular Season - 36;84;Nice;home;96;Toulouse;https://media.api-sports.io/football/teams/96.png;0;0;0-0;N;3
61;Ligue 1;2022;2022-2023;871816;2023-05-13T15:00:00+00:00;Regular Season - 35;84;Nice;away;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;0;2;0-2;D;4
61;Ligue 1;2022;2022-2023;871805;2023-05-06T15:00:00+00:00;Regular Season - 34;84;Nice;home;94;Rennes;https://media.api-sports.io/football/teams/94.png;2;1;2-1;V;5
61;Ligue 1;2022;2022-2023;871846;2023-06-03T19:00:00+00:00;Regular Season - 38;85;Paris Saint Germain;home;99;Clermont Foot;https://media.api-sports.io/football/teams/99.png;2;3;2-3;D;1
61;Ligue 1;2022;2022-2023;871837;2023-05-27T19:00:00+00:00;Regular Season - 37;85;Paris Saint Germain;away;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;1;1;1-1;N;2
61;Ligue 1;2022;2022-2023;871821;2023-05-21T18:45:00+00:00;Regular Season - 36;85;Paris Saint Germain;away;108;Auxerre;https://media.api-sports.io/football/teams/108.png;2;1;2-1;V;3
61;Ligue 1;2022;2022-2023;871814;2023-05-13T19:00:00+00:00;Regular Season - 35;85;Paris Saint Germain;home;98;Ajaccio;https://media.api-sports.io/football/teams/98.png;5;0;5-0;V;4
61;Ligue 1;2022;2022-2023;871809;2023-05-07T18:45:00+00:00;Regular Season - 34;85;Paris Saint Germain;away;110;Estac Troyes;https://media.api-sports.io/football/teams/110.png;3;1;3-1;V;5
61;Ligue 1;2022;2022-2023;871842;2023-06-03T19:00:00+00:00;Regular Season - 38;91;Monaco;home;96;Toulouse;https://media.api-sports.io/football/teams/96.png;1;2;1-2;D;1
61;Ligue 1;2022;2022-2023;871838;2023-05-27T19:00:00+00:00;Regular Season - 37;91;Monaco;away;94;Rennes;https://media.api-sports.io/football/teams/94.png;0;2;0-2;D;2
61;Ligue 1;2022;2022-2023;871826;2023-05-19T19:00:00+00:00;Regular Season - 36;91;Monaco;away;80;Lyon;https://media.api-sports.io/football/teams/80.png;1;3;1-3;D;3
61;Ligue 1;2022;2022-2023;871810;2023-05-14T15:05:00+00:00;Regular Season - 35;91;Monaco;home;79;Lille;https://media.api-sports.io/football/teams/79.png;0;0;0-0;N;4
61;Ligue 1;2022;2022-2023;871802;2023-05-07T11:00:00+00:00;Regular Season - 34;91;Monaco;away;77;Angers;https://media.api-sports.io/football/teams/77.png;2;1;2-1;V;5
61;Ligue 1;2022;2022-2023;871848;2023-06-03T19:00:00+00:00;Regular Season - 38;93;Reims;home;82;Montpellier;https://media.api-sports.io/football/teams/82.png;1;3;1-3;D;1
61;Ligue 1;2022;2022-2023;871834;2023-05-27T19:00:00+00:00;Regular Season - 37;93;Reims;away;80;Lyon;https://media.api-sports.io/football/teams/80.png;0;3;0-3;D;2
61;Ligue 1;2022;2022-2023;871828;2023-05-21T13:00:00+00:00;Regular Season - 36;93;Reims;home;77;Angers;https://media.api-sports.io/football/teams/77.png;2;2;2-2;N;3
61;Ligue 1;2022;2022-2023;871815;2023-05-12T19:00:00+00:00;Regular Season - 35;93;Reims;away;116;Lens;https://media.api-sports.io/football/teams/116.png;1;2;1-2;D;4
61;Ligue 1;2022;2022-2023;871808;2023-05-06T17:00:00+00:00;Regular Season - 34;93;Reims;home;79;Lille;https://media.api-sports.io/football/teams/79.png;1;0;1-0;V;5
61;Ligue 1;2022;2022-2023;871847;2023-06-03T19:00:00+00:00;Regular Season - 38;94;Rennes;away;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;2;1;2-1;V;1
61;Ligue 1;2022;2022-2023;871838;2023-05-27T19:00:00+00:00;Regular Season - 37;94;Rennes;home;91;Monaco;https://media.api-sports.io/football/teams/91.png;2;0;2-0;V;2
61;Ligue 1;2022;2022-2023;871820;2023-05-21T11:00:00+00:00;Regular Season - 36;94;Rennes;away;98;Ajaccio;https://media.api-sports.io/football/teams/98.png;5;0;5-0;V;3
61;Ligue 1;2022;2022-2023;871818;2023-05-14T13:00:00+00:00;Regular Season - 35;94;Rennes;home;110;Estac Troyes;https://media.api-sports.io/football/teams/110.png;4;0;4-0;V;4
61;Ligue 1;2022;2022-2023;871805;2023-05-06T15:00:00+00:00;Regular Season - 34;94;Rennes;away;84;Nice;https://media.api-sports.io/football/teams/84.png;1;2;1-2;D;5
61;Ligue 1;2022;2022-2023;871843;2023-06-03T19:00:00+00:00;Regular Season - 38;95;Strasbourg;away;97;Lorient;https://media.api-sports.io/football/teams/97.png;1;2;1-2;D;1
61;Ligue 1;2022;2022-2023;871837;2023-05-27T19:00:00+00:00;Regular Season - 37;95;Strasbourg;home;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;1;1;1-1;N;2
61;Ligue 1;2022;2022-2023;871829;2023-05-21T13:00:00+00:00;Regular Season - 36;95;Strasbourg;away;110;Estac Troyes;https://media.api-sports.io/football/teams/110.png;1;1;1-1;N;3
61;Ligue 1;2022;2022-2023;871816;2023-05-13T15:00:00+00:00;Regular Season - 35;95;Strasbourg;home;84;Nice;https://media.api-sports.io/football/teams/84.png;2;0;2-0;V;4
61;Ligue 1;2022;2022-2023;871804;2023-05-07T13:00:00+00:00;Regular Season - 34;95;Strasbourg;away;83;Nantes;https://media.api-sports.io/football/teams/83.png;2;0;2-0;V;5
61;Ligue 1;2022;2022-2023;871842;2023-06-03T19:00:00+00:00;Regular Season - 38;96;Toulouse;away;91;Monaco;https://media.api-sports.io/football/teams/91.png;2;1;2-1;V;1
61;Ligue 1;2022;2022-2023;871839;2023-05-27T19:00:00+00:00;Regular Season - 37;96;Toulouse;home;108;Auxerre;https://media.api-sports.io/football/teams/108.png;1;1;1-1;N;2
61;Ligue 1;2022;2022-2023;871825;2023-05-21T13:00:00+00:00;Regular Season - 36;96;Toulouse;away;84;Nice;https://media.api-sports.io/football/teams/84.png;0;0;0-0;N;3
61;Ligue 1;2022;2022-2023;871819;2023-05-14T14:30:00+00:00;Regular Season - 35;96;Toulouse;home;83;Nantes;https://media.api-sports.io/football/teams/83.png;0;0;0-0;N;4
61;Ligue 1;2022;2022-2023;871800;2023-05-07T13:00:00+00:00;Regular Season - 34;96;Toulouse;away;98;Ajaccio;https://media.api-sports.io/football/teams/98.png;0;0;0-0;N;5
61;Ligue 1;2022;2022-2023;871843;2023-06-03T19:00:00+00:00;Regular Season - 38;97;Lorient;home;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;2;1;2-1;V;1
61;Ligue 1;2022;2022-2023;871831;2023-05-27T19:00:00+00:00;Regular Season - 37;97;Lorient;away;99;Clermont Foot;https://media.api-sports.io/football/teams/99.png;0;2;0-2;D;2
