player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label
902;N. Matić;80;Lyon;Lyon;Midfielder;2025.0;high;True;False;53.8;59.9;61.7;64.6;64.1;52.2;60.0;73.3;65.3;-1.2;64.1;69.2;-4.4;En baisse;Moyenne;4.0;51.3;4.0;En hausse
21498;M. Coco;83;Nantes;Nantes;Attacker;966.0;medium;True;False;53.3;72.8;69.8;59.3;76.3;72.5;62.2;69.9;65.3;-1.3;64.0;;;;;;53.1;10.7;En hausse
110;H. Massengo;108;Auxerre;Auxerre;Midfielder;1046.0;medium;True;False;61.2;53.8;60.7;67.2;71.2;68.6;63.4;67.5;65.0;-1.3;63.7;65.3;5.7;En hausse;Élevée;5.0;36.7;-4.0;En baisse
272460;Q. Merlin;94;Rennes;Rennes / Marseille;Defender;3202.0;high;True;False;73.5;81.7;73.3;45.0;56.8;52.9;59.0;74.0;65.0;-1.4;63.6;;;;;;42.7;4.0;En hausse
271542;I. Doukouré;95;Strasbourg;Strasbourg;Defender;2645.0;high;True;False;57.4;50.8;58.2;71.2;62.1;60.3;60.6;71.2;64.9;-1.4;63.4;63.3;-1.6;Stable;Élevée;5.0;44.5;-15.0;En baisse
999;B. Omeragić;82;Montpellier;Montpellier;Defender;1803.0;high;True;False;54.5;44.4;50.2;74.9;65.7;61.5;61.8;69.5;64.9;-1.5;63.3;61.7;-8.3;En baisse;Élevée;5.0;25.0;-2.7;Stable
30405;E. Fernandes;106;Stade Brestois 29;Stade Brestois 29;Midfielder;1102.0;medium;True;False;58.1;64.7;62.8;64.8;64.6;53.9;62.1;68.9;64.8;-1.6;63.2;63.9;0.2;Stable;Moyenne;3.0;48.8;4.0;En hausse
20206;G. Osho;108;Auxerre;Auxerre;Defender;1657.0;high;True;False;65.0;38.7;45.5;63.8;62.3;63.7;59.0;73.4;64.8;-1.7;63.1;67.5;;Non disponible;Faible;1.0;36.7;-4.0;En baisse
20545;J. Castelletto;83;Nantes;Nantes;Defender;2622.0;high;True;False;48.8;51.2;37.7;60.6;62.5;62.7;59.9;71.7;64.6;-1.7;62.9;75.9;0.5;Stable;Élevée;5.0;53.1;10.7;En hausse
420292;H. Sekine;93;Reims;Reims;Defender;1016.0;medium;True;False;51.3;61.7;59.9;69.1;60.7;53.8;59.6;71.7;64.4;-1.8;62.6;69.9;0.8;Stable;Élevée;5.0;31.3;1.3;Stable
385569;E. Biumla;77;Angers;Angers;Midfielder;1334.0;medium;True;False;64.9;42.7;51.1;70.7;61.0;65.1;57.9;71.9;63.5;-1.7;61.8;68.2;;Non disponible;Faible;1.0;50.3;4.0;En hausse
