competition_id;competition_name;country;season;season_label;fixture_id;round;matchday;date;team_id;team_name;team_logo;opponent_id;opponent_name;opponent_logo;home_away;goals_for;goals_against;score;result;shots_on_target;shots_off_target;shots_total;blocked_shots;shots_inside_box;shots_outside_box;fouls;corners;offsides;possession;yellow_cards;red_cards;goalkeeper_saves;passes_total;passes_accurate;pass_accuracy
61;Ligue 1;France;2024;2024-2025;1213754;Regular Season - 1;1;2024-08-16T18:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;111;Le Havre;https://media.api-sports.io/football/teams/111.png;away;4;1;4-1;V;10.0;4.0;15.0;1.0;13.0;2.0;9.0;8.0;1.0;76.0;0.0;;1.0;824.0;770.0;93.0
61;Ligue 1;France;2024;2024-2025;1213756;Regular Season - 2;2;2024-08-23T18:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;82;Montpellier;https://media.api-sports.io/football/teams/82.png;home;6;0;6-0;V;11.0;12.0;27.0;4.0;17.0;10.0;11.0;10.0;0.0;69.0;1.0;;3.0;744.0;694.0;93.0
61;Ligue 1;France;2024;2024-2025;1213765;Regular Season - 3;3;2024-09-01T18:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;79;Lille;https://media.api-sports.io/football/teams/79.png;away;3;1;3-1;V;7.0;2.0;11.0;2.0;11.0;0.0;9.0;1.0;2.0;58.0;2.0;;3.0;611.0;542.0;89.0
61;Ligue 1;France;2024;2024-2025;1213782;Regular Season - 4;4;2024-09-14T19:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;home;3;1;3-1;V;9.0;7.0;22.0;6.0;13.0;9.0;7.0;9.0;3.0;67.0;2.0;;2.0;679.0;623.0;92.0
61;Ligue 1;France;2024;2024-2025;1213785;Regular Season - 5;5;2024-09-21T19:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;93;Reims;https://media.api-sports.io/football/teams/93.png;away;1;1;1-1;N;4.0;5.0;11.0;2.0;9.0;2.0;6.0;5.0;1.0;78.0;1.0;;0.0;808.0;757.0;94.0
61;Ligue 1;France;2024;2024-2025;1213793;Regular Season - 6;6;2024-09-27T19:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;94;Rennes;https://media.api-sports.io/football/teams/94.png;home;3;1;3-1;V;8.0;8.0;23.0;7.0;14.0;9.0;12.0;6.0;5.0;62.0;1.0;;4.0;638.0;565.0;89.0
61;Ligue 1;France;2024;2024-2025;1213802;Regular Season - 7;7;2024-10-06T18:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;84;Nice;https://media.api-sports.io/football/teams/84.png;away;1;1;1-1;N;9.0;5.0;19.0;5.0;11.0;8.0;9.0;15.0;1.0;71.0;2.0;;2.0;701.0;642.0;92.0
61;Ligue 1;France;2024;2024-2025;1213818;Regular Season - 8;8;2024-10-19T19:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;home;4;2;4-2;V;10.0;5.0;18.0;3.0;16.0;2.0;10.0;5.0;2.0;56.0;2.0;;5.0;560.0;493.0;88.0
61;Ligue 1;France;2024;2024-2025;1213821;Regular Season - 9;9;2024-10-27T19:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;away;3;0;3-0;V;8.0;9.0;19.0;2.0;15.0;4.0;7.0;2.0;8.0;75.0;0.0;0.0;1.0;916.0;862.0;94.0
61;Ligue 1;France;2024;2024-2025;1213836;Regular Season - 10;10;2024-11-02T16:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;116;Lens;https://media.api-sports.io/football/teams/116.png;home;1;0;1-0;V;8.0;5.0;18.0;5.0;13.0;5.0;3.0;7.0;2.0;69.0;1.0;0.0;2.0;720.0;640.0;89.0
