player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label;competition_id;competition_name;season;season_label
21443;T. Savanier;82;Montpellier;Montpellier;Midfielder;2339.0;high;True;False;69.6;92.1;87.7;73.0;57.8;74.4;77.1;79.0;77.9;1.7;79.6;64.4;-1.6;Stable;Moyenne;3.0;25.0;-2.7;Stable;61;Ligue 1;2024;2024-2025
11421;G. Suazo;96;Toulouse;Toulouse;Defender;2160.0;high;True;False;57.8;85.3;83.5;84.6;76.3;72.4;77.2;78.7;77.8;1.7;79.5;69.6;-0.3;Stable;Moyenne;3.0;62.7;5.3;En hausse;61;Ligue 1;2024;2024-2025
2214;R. Del Castillo;106;Stade Brestois 29;Stade Brestois 29;Midfielder;1266.0;medium;True;False;87.1;91.3;86.7;70.0;62.7;69.5;78.1;77.3;77.8;1.7;79.5;76.0;-8.2;En baisse;Élevée;5.0;48.8;4.0;En hausse;61;Ligue 1;2024;2024-2025
322560;L. Stassin;1063;Saint Etienne;Saint Etienne;Attacker;1875.0;high;True;False;91.3;69.8;75.9;73.2;43.9;55.0;77.1;78.5;77.7;1.7;79.4;75.7;;Non disponible;Faible;2.0;43.0;4.0;En hausse;61;Ligue 1;2024;2024-2025
39115;A. Dønnum;96;Toulouse;Toulouse;Midfielder;2697.0;high;True;False;62.7;84.0;80.0;79.7;69.8;75.8;76.7;78.9;77.6;1.7;79.3;75.1;-3.6;En baisse;Moyenne;4.0;62.7;5.3;En hausse;61;Ligue 1;2024;2024-2025
22170;P. Lees-Melou;106;Stade Brestois 29;Stade Brestois 29;Midfielder;1528.0;high;True;False;71.5;75.6;74.5;78.9;72.3;76.9;75.2;80.1;77.2;1.7;78.9;76.6;-2.1;Stable;Moyenne;4.0;48.8;4.0;En hausse;61;Ligue 1;2024;2024-2025
374058;L. Camara;91;Monaco;Monaco;Midfielder;2064.0;high;True;False;70.8;58.7;83.1;73.6;79.8;80.0;73.8;82.1;77.1;1.7;78.8;68.1;-3.0;En baisse;Moyenne;4.0;54.2;-1.3;Stable;61;Ligue 1;2024;2024-2025
305834;Andrey Santos;95;Strasbourg;Strasbourg;Midfielder;2857.0;high;True;False;77.8;46.5;71.5;73.0;82.4;90.7;71.6;84.8;76.9;1.7;78.6;80.5;-1.4;Stable;Élevée;5.0;44.5;-15.0;En baisse;61;Ligue 1;2024;2024-2025
128384;Vitinha;85;Paris Saint Germain;Paris Saint Germain;Midfielder;2035.0;high;True;False;81.5;69.5;72.0;79.0;63.4;62.0;70.7;86.2;76.9;1.7;78.6;83.9;2.1;Stable;Moyenne;3.0;60.9;15.0;En hausse;61;Ligue 1;2024;2024-2025
263482;Nuno Mendes;85;Paris Saint Germain;Paris Saint Germain;Defender;1676.0;high;True;False;75.0;73.9;82.8;83.3;70.5;74.9;73.6;81.3;76.7;1.7;78.4;86.8;12.0;En hausse;Moyenne;3.0;60.9;15.0;En hausse;61;Ligue 1;2024;2024-2025
10077;Luis Henrique;81;Marseille;Marseille;Attacker;2621.0;high;True;False;79.4;87.2;82.4;79.3;42.4;49.5;74.7;79.7;76.7;1.7;78.3;70.2;-0.8;Stable;Moyenne;4.0;75.6;5.3;En hausse;61;Ligue 1;2024;2024-2025
50956;C. Cásseres;96;Toulouse;Toulouse;Midfielder;2705.0;high;True;False;59.0;71.2;72.9;80.9;83.3;84.9;76.1;77.3;76.6;1.6;78.2;73.4;5.6;En hausse;Élevée;5.0;62.7;5.3;En hausse;61;Ligue 1;2024;2024-2025
