player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label;competition_id;competition_name;season;season_label
983;L. Bailey;66;Aston Villa;Aston Villa;Attacker;1151.0;medium;True;False;69.6;75.1;78.4;74.7;50.8;60.6;70.5;70.7;70.6;0.1;70.7;;;Non disponible;Non disponible;;59.9;-4.0;En baisse;39;Premier League;2024;2024-2025
152953;L. Colwill;49;Chelsea;Chelsea;Defender;3150.0;high;True;False;56.2;58.3;52.9;59.2;70.1;69.7;66.8;76.1;70.5;0.1;70.6;;;Non disponible;Non disponible;;73.1;8.0;En hausse;39;Premier League;2024;2024-2025
158694;T. Livramento;34;Newcastle;Newcastle;Defender;2842.0;high;True;False;49.8;69.2;67.7;72.8;68.0;68.9;68.6;73.3;70.5;0.1;70.6;;;Non disponible;Non disponible;;40.8;-15.0;En baisse;39;Premier League;2024;2024-2025
2823;S. Lukić;36;Fulham;Fulham;Midfielder;2356.0;high;True;False;47.9;72.6;67.4;69.8;75.7;64.3;68.0;74.0;70.4;0.1;70.5;;;Non disponible;Non disponible;;42.3;4.0;En hausse;39;Premier League;2024;2024-2025
19179;T. Mings;66;Aston Villa;Aston Villa;Defender;1121.0;medium;True;False;52.2;79.2;53.4;66.9;61.6;69.8;66.4;76.6;70.4;0.1;70.5;;;Non disponible;Non disponible;;59.9;-4.0;En baisse;39;Premier League;2024;2024-2025
265784;André;39;Wolves;Wolves;Midfielder;2495.0;high;True;False;41.5;62.7;58.1;75.0;81.3;78.7;67.5;74.5;70.3;0.0;70.4;;;Non disponible;Non disponible;;32.0;-4.0;En baisse;39;Premier League;2024;2024-2025
2920;T. Castagne;36;Fulham;Fulham;Defender;1651.0;high;True;False;58.6;56.8;57.9;59.2;77.0;67.3;69.4;71.9;70.4;0.0;70.4;;;Non disponible;Non disponible;;42.3;4.0;En hausse;39;Premier League;2024;2024-2025
1150;T. Adams;35;Bournemouth;Bournemouth;Midfielder;1965.0;high;True;False;58.0;68.9;66.8;50.4;85.6;78.7;68.4;73.0;70.2;0.0;70.3;;;Non disponible;Non disponible;;52.6;1.3;Stable;39;Premier League;2024;2024-2025
106725;K. Lewis-Potter;55;Brentford;Brentford;Attacker;3102.0;high;True;False;69.7;66.8;70.2;65.3;63.7;65.3;68.0;73.3;70.1;0.0;70.2;;;Non disponible;Non disponible;;54.0;-15.0;En baisse;39;Premier League;2024;2024-2025
18788;J. Vardy;46;Leicester;Leicester;Attacker;2840.0;high;True;False;83.3;60.8;64.1;64.2;44.9;54.9;69.7;70.6;70.1;0.0;70.1;;;Non disponible;Non disponible;;51.1;1.3;Stable;39;Premier League;2024;2024-2025
19825;J. Aribo;41;Southampton;Southampton;Midfielder;2014.0;high;True;False;74.8;65.2;62.4;69.6;75.6;75.6;69.8;70.2;69.9;0.0;70.0;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
19130;K. Phillips;57;Ipswich;Ipswich / Manchester City / West Ham;Midfielder;1239.0;medium;True;False;59.6;65.8;65.4;69.7;91.1;76.1;71.7;67.5;70.0;0.0;70.0;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
18744;M. Kilman;48;West Ham;West Ham / Wolves;Defender;3349.0;high;True;False;43.2;40.0;54.9;67.8;70.8;74.2;66.4;75.1;69.9;0.0;69.9;;;Non disponible;Non disponible;;58.4;1.3;Stable;39;Premier League;2024;2024-2025
19119;L. Davis;57;Ipswich;Ipswich;Defender;2746.0;high;True;False;50.5;89.2;74.6;58.5;65.0;68.4;68.9;71.3;69.9;-0.0;69.9;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
24882;O. Mangala;45;Everton;Everton / Nottingham Forest;Midfielder;1262.0;medium;True;False;68.0;61.6;63.0;78.9;67.3;63.3;66.8;74.5;69.9;-0.0;69.9;;;Non disponible;Non disponible;;76.0;13.3;En hausse;39;Premier League;2024;2024-2025
2678;Diogo Jota;40;Liverpool;Liverpool;Attacker;1194.0;medium;True;False;78.1;68.7;74.1;60.6;58.2;58.4;70.1;69.4;69.8;-0.0;69.8;;;Non disponible;Non disponible;;36.4;-6.7;En baisse;39;Premier League;2024;2024-2025
47380;Marc Cucurella;49;Chelsea;Chelsea;Defender;2990.0;high;True;False;77.7;50.6;57.1;50.0;71.8;66.2;65.2;76.7;69.8;-0.1;69.7;;;Non disponible;Non disponible;;73.1;8.0;En hausse;39;Premier League;2024;2024-2025
1243;T. Souček;48;West Ham;West Ham;Midfielder;2572.0;high;True;False;75.8;57.4;58.0;60.5;73.7;76.0;65.5;76.3;69.8;-0.1;69.7;;;Non disponible;Non disponible;;58.4;1.3;Stable;39;Premier League;2024;2024-2025
1231;V. Coufal;48;West Ham;West Ham;Defender;1062.0;medium;True;False;60.0;64.8;62.4;63.1;73.9;73.2;71.1;67.8;69.8;-0.1;69.7;;;Non disponible;Non disponible;;58.4;1.3;Stable;39;Premier League;2024;2024-2025
1904;B. Kamara;66;Aston Villa;Aston Villa;Midfielder;1735.0;high;True;False;63.7;60.2;59.4;69.5;77.6;77.8;67.7;72.9;69.7;-0.1;69.6;;;Non disponible;Non disponible;;59.9;-4.0;En baisse;39;Premier League;2024;2024-2025
2771;O. Aina;65;Nottingham Forest;Nottingham Forest;Defender;3002.0;high;True;False;54.7;55.2;62.4;77.7;69.4;66.8;67.0;73.5;69.6;-0.1;69.5;;;Non disponible;Non disponible;;45.2;6.7;En hausse;39;Premier League;2024;2024-2025
18766;D. Calvert-Lewin;45;Everton;Everton;Attacker;1629.0;high;True;False;77.9;55.5;62.5;63.7;57.7;72.7;70.2;68.7;69.6;-0.1;69.5;;;Non disponible;Non disponible;;76.0;13.3;En hausse;39;Premier League;2024;2024-2025
161907;M. Gusto;49;Chelsea;Chelsea;Defender;1855.0;high;True;False;53.6;72.9;65.3;50.6;73.3;60.6;67.5;72.5;69.5;-0.1;69.4;;;Non disponible;Non disponible;;73.1;8.0;En hausse;39;Premier League;2024;2024-2025
301771;S. Adingra;51;Brighton;Brighton;Attacker;1090.0;medium;True;False;72.8;75.9;76.3;66.6;63.8;59.6;70.1;68.6;69.5;-0.1;69.4;;;Non disponible;Non disponible;;80.4;5.3;En hausse;39;Premier League;2024;2024-2025
18961;D. Burn;34;Newcastle;Newcastle;Defender;3330.0;high;True;False;57.0;47.0;46.8;56.6;68.3;74.8;65.4;75.5;69.4;-0.1;69.3;;;Non disponible;Non disponible;;40.8;-15.0;En baisse;39;Premier League;2024;2024-2025
161671;I. Zabarnyi;35;Bournemouth;Bournemouth;Defender;3112.0;high;True;False;36.7;49.9;50.8;64.2;71.9;67.1;65.9;74.7;69.4;-0.2;69.3;;;Non disponible;Non disponible;;52.6;1.3;Stable;39;Premier League;2024;2024-2025
130;Nélson Semedo;39;Wolves;Wolves;Defender;2891.0;high;True;False;57.4;67.8;71.8;72.2;69.4;65.5;68.3;71.0;69.3;-0.2;69.2;;;Non disponible;Non disponible;;32.0;-4.0;En baisse;39;Premier League;2024;2024-2025
6056;N. Domínguez;65;Nottingham Forest;Nottingham Forest;Midfielder;1970.0;high;True;False;61.1;61.5;59.7;56.6;85.6;76.5;66.6;73.5;69.3;-0.2;69.2;;;Non disponible;Non disponible;;45.2;6.7;En hausse;39;Premier League;2024;2024-2025
17661;J. Branthwaite;45;Everton;Everton;Defender;2510.0;high;True;False;51.4;36.8;47.6;59.1;70.1;71.9;64.2;77.1;69.3;-0.2;69.1;;;Non disponible;Non disponible;;76.0;13.3;En hausse;39;Premier League;2024;2024-2025
19558;Sam Morsy;57;Ipswich;Ipswich;Midfielder;2755.0;high;True;False;55.4;67.9;65.4;76.6;73.0;65.1;68.2;70.6;69.2;-0.2;69.0;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
30427;C. Okoli;46;Leicester;Leicester;Defender;1122.0;medium;True;False;66.9;44.9;50.4;62.1;77.0;69.0;68.2;70.6;69.2;-0.2;69.0;;;Non disponible;Non disponible;;51.1;1.3;Stable;39;Premier League;2024;2024-2025
18943;J. Vestergaard;46;Leicester;Leicester;Defender;1395.0;high;True;False;62.1;73.4;49.8;69.6;70.4;64.1;68.4;70.4;69.2;-0.2;68.9;;;Non disponible;Non disponible;;51.1;1.3;Stable;39;Premier League;2024;2024-2025
925;Gonçalo Guedes;39;Wolves;Wolves;Attacker;985.0;medium;True;False;73.8;75.2;79.2;64.2;59.3;61.7;70.9;66.4;69.1;-0.2;68.9;;;Non disponible;Non disponible;;32.0;-4.0;En baisse;39;Premier League;2024;2024-2025
152967;C. Bassey;36;Fulham;Fulham;Defender;3074.0;high;True;False;58.8;56.9;43.9;69.5;66.3;73.4;66.4;73.0;69.1;-0.3;68.8;;;Non disponible;Non disponible;;42.3;4.0;En hausse;39;Premier League;2024;2024-2025
895;J. Garner;45;Everton;Everton;Midfielder;1595.0;high;True;False;57.3;66.1;64.6;55.9;76.1;68.2;65.2;74.7;69.0;-0.3;68.7;;;Non disponible;Non disponible;;76.0;13.3;En hausse;39;Premier League;2024;2024-2025
863;R. Bentancur;47;Tottenham;Tottenham;Midfielder;1654.0;high;True;False;69.8;59.8;56.7;68.0;80.2;63.4;65.7;73.7;68.9;-0.3;68.6;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
2817;N. Milenković;65;Nottingham Forest;Nottingham Forest;Defender;3330.0;high;True;False;64.5;44.5;48.0;53.6;66.7;68.3;62.4;78.5;68.9;-0.3;68.5;;;Non disponible;Non disponible;;45.2;6.7;En hausse;39;Premier League;2024;2024-2025
15797;J. Cajuste;57;Ipswich;Ipswich;Midfielder;1978.0;high;True;False;52.1;60.9;66.5;80.6;76.0;66.7;68.0;69.8;68.7;-0.3;68.4;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
284322;K. Mainoo;33;Manchester United;Manchester United;Midfielder;1656.0;high;True;False;52.0;67.3;64.7;71.3;74.7;69.3;67.6;70.2;68.6;-0.3;68.3;;;Non disponible;Non disponible;;43.8;9.3;En hausse;39;Premier League;2024;2024-2025
70747;J. Enciso;57;Ipswich;Ipswich / Brighton;Midfielder;1164.0;medium;True;False;83.2;67.7;67.0;78.8;45.3;60.2;66.2;72.2;68.6;-0.4;68.2;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
3080;M. Munetsi;39;Wolves;Wolves;Midfielder;1079.0;medium;True;False;73.1;67.0;65.1;56.0;66.3;69.6;65.6;73.0;68.5;-0.4;68.2;;;Non disponible;Non disponible;;32.0;-4.0;En baisse;39;Premier League;2024;2024-2025
137302;C. Archer;41;Southampton;Southampton / Aston Villa;Attacker;1430.0;high;True;False;78.2;62.6;66.1;71.2;63.2;66.6;71.6;63.8;68.5;-0.4;68.1;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
2284;Emerson;48;West Ham;West Ham;Defender;2132.0;high;True;False;71.4;64.1;62.2;54.0;73.2;64.9;67.8;69.5;68.5;-0.4;68.0;;;Non disponible;Non disponible;;58.4;1.3;Stable;39;Premier League;2024;2024-2025
162498;R. Drăgușin;47;Tottenham;Tottenham;Defender;1253.0;medium;True;False;52.5;76.4;53.5;70.4;67.1;68.0;68.4;68.4;68.4;-0.4;67.9;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
152849;M. van de Ven;47;Tottenham;Tottenham;Defender;1018.0;medium;True;False;60.2;83.8;61.5;66.9;65.5;61.3;66.9;70.6;68.4;-0.5;67.9;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
171;K. Walker-Peters;41;Southampton;Southampton;Defender;2922.0;high;True;False;54.2;59.4;71.2;73.1;64.7;69.2;65.9;71.8;68.3;-0.5;67.8;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
263538;Y. Yarmolyuk;55;Brentford;Brentford;Midfielder;1441.0;high;True;False;56.7;60.3;60.1;71.7;78.6;68.3;66.3;71.5;68.3;-0.5;67.8;;;Non disponible;Non disponible;;54.0;-15.0;En baisse;39;Premier League;2024;2024-2025
2601;D. Kamada;52;Crystal Palace;Crystal Palace;Midfielder;1593.0;high;True;False;56.6;74.0;63.6;61.7;74.7;63.8;66.7;70.5;68.2;-0.5;67.7;;;Non disponible;Non disponible;;62.8;2.7;Stable;39;Premier League;2024;2024-2025
