competition_id;competition_name;season;season_label;team_id;team_name;team_logo;rank;points;played;wins;draws;losses;goals_for;goals_against;goal_diff;standing_form;description
61;Ligue 1;2023;2023-2024;111;LE Havre;https://media.api-sports.io/football/teams/111.png;15;32;34;7;11;16;34;45;-11;LLWDL;
61;Ligue 1;2023;2023-2024;112;Metz;https://media.api-sports.io/football/teams/112.png;16;29;34;8;5;21;35;58;-23;LLLLW;Ligue 1 (Promotion - Play Offs: )
61;Ligue 1;2023;2023-2024;97;Lorient;https://media.api-sports.io/football/teams/97.png;17;29;34;7;8;19;43;66;-23;WLLLL;Relegation - Ligue 2
61;Ligue 1;2023;2023-2024;99;Clermont Foot;https://media.api-sports.io/football/teams/99.png;18;25;34;5;10;19;26;60;-34;LLLWL;Relegation - Ligue 2
61;Ligue 1;2024;2024-2025;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;1;84;34;26;6;2;92;35;57;WWLLD;Champions League
61;Ligue 1;2024;2024-2025;81;Marseille;https://media.api-sports.io/football/teams/81.png;2;65;34;20;5;9;74;47;27;WWDWW;Champions League
61;Ligue 1;2024;2024-2025;91;Monaco;https://media.api-sports.io/football/teams/91.png;3;61;34;18;7;9;63;41;22;LWWDD;Champions League
61;Ligue 1;2024;2024-2025;84;Nice;https://media.api-sports.io/football/teams/84.png;4;60;34;17;9;8;66;41;25;WLWWW;Champions League Qualification
61;Ligue 1;2024;2024-2025;79;Lille;https://media.api-sports.io/football/teams/79.png;5;60;34;17;9;8;52;36;16;WLDWW;UEFA Europa League
61;Ligue 1;2024;2024-2025;80;Lyon;https://media.api-sports.io/football/teams/80.png;6;57;34;17;6;11;65;46;19;WLLWL;UEFA Europa League
61;Ligue 1;2024;2024-2025;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;7;57;34;16;9;9;56;44;12;LLWWD;Conference League Qualification
61;Ligue 1;2024;2024-2025;116;Lens;https://media.api-sports.io/football/teams/116.png;8;52;34;15;7;12;42;39;3;WDWLW;
61;Ligue 1;2024;2024-2025;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;9;50;34;15;5;14;52;59;-7;LWWLL;
61;Ligue 1;2024;2024-2025;96;Toulouse;https://media.api-sports.io/football/teams/96.png;10;42;34;11;9;14;44;43;1;WDWDL;
61;Ligue 1;2024;2024-2025;108;Auxerre;https://media.api-sports.io/football/teams/108.png;11;42;34;11;9;14;48;51;-3;LDLWL;
61;Ligue 1;2024;2024-2025;94;Rennes;https://media.api-sports.io/football/teams/94.png;12;41;34;13;2;19;51;50;1;LWLLW;
61;Ligue 1;2024;2024-2025;83;Nantes;https://media.api-sports.io/football/teams/83.png;13;36;34;8;12;14;39;52;-13;WDLDD;
61;Ligue 1;2024;2024-2025;77;Angers;https://media.api-sports.io/football/teams/77.png;14;36;34;10;6;18;32;53;-21;LWWLL;
61;Ligue 1;2024;2024-2025;111;Le Havre;https://media.api-sports.io/football/teams/111.png;15;34;34;10;4;20;40;71;-31;WLWDL;
61;Ligue 1;2024;2024-2025;93;Reims;https://media.api-sports.io/football/teams/93.png;16;33;34;8;9;17;33;47;-14;LDLLL;Relegation Playoffs
61;Ligue 1;2024;2024-2025;1063;Saint Etienne;https://media.api-sports.io/football/teams/1063.png;17;30;34;8;6;20;39;77;-38;LWLLW;Relegation
61;Ligue 1;2024;2024-2025;82;Montpellier;https://media.api-sports.io/football/teams/82.png;18;16;34;4;4;26;23;79;-56;LLLDL;Relegation
