player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;matches_in_form;club_form;club_form_trend;club_form_label
1567;A. Mandi;79;Lille;Lille;Defender;1736.0;high;True;False;52.0;69.8;48.8;63.6;63.6;59.1;62.7;75.3;67.7;-0.6;67.2;76.7;-5.0;En baisse;3.0;58.4;-27.8;En baisse
30423;H. Hateboer;94;Rennes;Rennes;Midfielder;1680.0;high;True;False;43.7;67.9;58.2;67.6;73.2;69.3;64.8;71.7;67.5;-0.6;67.0;;;;;35.3;16.7;En hausse
9700;Abner;80;Lyon;Lyon;Defender;1099.0;medium;True;False;69.3;70.7;66.4;62.7;63.2;55.4;62.3;74.7;67.2;-0.5;66.7;76.3;;Non disponible;2.0;47.9;16.7;En hausse
128342;R. Ndiaye;111;Le Havre;Le Havre;Midfielder;1085.0;medium;True;False;66.5;68.5;60.7;53.6;75.0;67.1;65.1;70.3;67.2;-0.6;66.6;84.7;-1.0;Stable;3.0;56.1;5.6;En hausse
276184;M. Sarr;95;Strasbourg;Strasbourg / Lyon;Defender;2368.0;high;True;False;39.9;64.5;54.8;63.3;68.5;54.4;63.0;73.3;67.1;-0.6;66.5;72.8;-20.0;En baisse;5.0;38.2;-35.0;En baisse
22141;I. Sylla;82;Montpellier;Montpellier;Defender;1143.0;medium;True;False;60.5;62.0;60.0;71.6;69.3;65.9;67.2;67.1;67.1;-0.6;66.5;64.0;;Non disponible;1.0;9.0;-11.1;En baisse
8451;Aurélio Buta;93;Reims;Reims;Defender;1978.0;high;True;False;45.4;57.5;61.8;63.1;67.2;64.3;64.4;71.2;67.1;-0.7;66.4;72.3;-2.0;Stable;3.0;19.1;5.6;En hausse
25916;M. Niakhaté;80;Lyon;Lyon;Defender;2725.0;high;True;False;45.9;53.3;41.3;60.0;65.1;65.2;62.1;74.3;67.0;-0.7;66.3;81.5;6.0;En hausse;5.0;47.9;16.7;En hausse
18765;André Gomes;79;Lille;Lille;Midfielder;1283.0;medium;True;False;56.6;76.7;62.0;65.2;60.2;56.8;64.2;71.3;67.0;-0.7;66.3;73.3;;Non disponible;2.0;58.4;-27.8;En baisse
21570;N. Cozza;83;Nantes;Nantes;Defender;2051.0;high;True;False;62.7;52.4;49.1;46.5;73.7;65.7;65.5;69.0;66.9;-0.7;66.2;77.8;;Non disponible;3.0;50.7;35.0;En hausse
20692;H. Abdelli;77;Angers;Angers;Midfielder;2848.0;high;True;False;70.1;41.2;75.1;70.7;60.1;58.3;61.3;75.2;66.9;-0.8;66.1;77.7;12.0;En hausse;5.0;46.3;16.7;En hausse
334429;O. Diakité;93;Reims;Reims;Attacker;1763.0;high;True;False;74.4;62.9;68.3;62.4;53.3;57.4;67.3;65.9;66.7;-0.8;65.9;68.9;2.0;Stable;3.0;19.1;5.6;En hausse
343351;V. Atangana Edoa;93;Reims;Reims;Midfielder;2965.0;high;True;False;53.1;55.8;53.1;55.0;78.5;80.7;62.5;72.8;66.6;-0.8;65.8;76.5;-5.3;En baisse;5.0;19.1;5.6;En hausse
285;K. Hoever;108;Auxerre;Auxerre;Defender;2141.0;high;True;False;68.9;73.6;67.0;46.4;66.0;57.5;63.3;71.5;66.6;-0.8;65.8;76.3;-2.0;Stable;4.0;26.8;-16.7;En baisse
174937;Y. Kechta;111;Le Havre;Le Havre;Midfielder;2113.0;high;True;False;66.2;63.3;59.3;63.4;71.8;63.2;64.3;69.8;66.5;-0.8;65.6;75.3;9.7;En hausse;5.0;56.1;5.6;En hausse
21439;J. Ferri;82;Montpellier;Montpellier;Midfielder;1780.0;high;True;False;56.3;67.9;67.8;61.5;64.5;64.4;64.5;68.4;66.1;-0.8;65.3;71.9;-7.0;En baisse;5.0;9.0;-11.1;En baisse
21381;J. Lefort;77;Angers;Angers;Defender;3060.0;high;True;False;38.5;37.0;52.0;56.2;67.1;63.3;60.2;74.8;66.1;-0.8;65.2;70.4;-8.0;En baisse;5.0;46.3;16.7;En hausse
21010;E. Owusu;108;Auxerre;Auxerre;Midfielder;2354.0;high;True;False;61.7;59.3;63.4;56.4;79.8;62.2;63.7;69.5;66.0;-0.9;65.1;71.8;;Non disponible;2.0;26.8;-16.7;En baisse
174801;A. Moueffek;1063;Saint Etienne;Saint Etienne;Midfielder;1042.0;medium;True;False;55.5;69.5;69.7;66.9;65.5;54.6;64.8;67.6;65.9;-0.9;65.0;77.2;2.3;Stable;5.0;35.9;16.7;En hausse
412759;J. Canvot;96;Toulouse;Toulouse;Defender;1116.0;medium;True;False;56.0;58.1;56.6;69.9;66.3;58.9;63.0;69.9;65.8;-0.9;64.9;81.3;3.0;Stable;4.0;64.3;22.2;En hausse
284071;O. Targhalline;111;Le Havre;Le Havre;Midfielder;994.0;medium;True;False;54.3;64.4;61.3;62.5;73.9;58.2;63.2;69.6;65.7;-0.9;64.8;;;;;56.1;5.6;En hausse
2704;Y. Abdelhamid;1063;Saint Etienne;Saint Etienne / Reims;Defender;1015.0;medium;True;False;59.0;52.0;53.8;59.0;72.0;63.2;65.1;66.5;65.6;-1.0;64.7;66.0;;Non disponible;1.0;35.9;16.7;En hausse
30409;J. Veretout;80;Lyon;Lyon;Midfielder;1556.0;high;True;False;74.1;66.9;58.1;65.6;56.6;52.5;61.9;71.1;65.6;-1.0;64.5;81.0;10.0;En hausse;4.0;47.9;16.7;En hausse
50735;M. McKenzie;96;Toulouse;Toulouse;Defender;2497.0;high;True;False;61.5;39.3;48.2;53.0;68.5;63.6;61.2;72.0;65.5;-1.1;64.4;84.1;20.0;En hausse;3.0;64.3;22.2;En hausse
350388;Y. Mouanga;82;Montpellier;Montpellier;Defender;946.0;medium;True;False;55.0;52.8;56.0;72.8;66.6;62.6;63.6;68.0;65.4;-1.1;64.2;72.9;-6.7;En baisse;5.0;9.0;-11.1;En baisse
902;N. Matić;80;Lyon;Lyon;Midfielder;2025.0;high;True;False;53.8;59.9;61.7;64.6;64.1;52.2;60.0;73.3;65.3;-1.2;64.1;78.1;-8.0;En baisse;4.0;47.9;16.7;En hausse
21498;M. Coco;83;Nantes;Nantes;Attacker;966.0;medium;True;False;53.3;72.8;69.8;59.3;76.3;72.5;62.2;69.9;65.3;-1.3;64.0;;;;;50.7;35.0;En hausse
110;H. Massengo;108;Auxerre;Auxerre;Midfielder;1046.0;medium;True;False;61.2;53.8;60.7;67.2;71.2;68.6;63.4;67.5;65.0;-1.3;63.7;74.4;13.0;En hausse;5.0;26.8;-16.7;En baisse
272460;Q. Merlin;94;Rennes;Rennes / Marseille;Defender;3202.0;high;True;False;73.5;81.7;73.3;45.0;56.8;52.9;59.0;74.0;65.0;-1.4;63.6;;;;;35.3;16.7;En hausse
271542;I. Doukouré;95;Strasbourg;Strasbourg;Defender;2645.0;high;True;False;57.4;50.8;58.2;71.2;62.1;60.3;60.6;71.2;64.9;-1.4;63.4;72.4;-2.0;Stable;5.0;38.2;-35.0;En baisse
999;B. Omeragić;82;Montpellier;Montpellier;Defender;1803.0;high;True;False;54.5;44.4;50.2;74.9;65.7;61.5;61.8;69.5;64.9;-1.5;63.3;70.7;-13.7;En baisse;5.0;9.0;-11.1;En baisse
30405;E. Fernandes;106;Stade Brestois 29;Stade Brestois 29;Midfielder;1102.0;medium;True;False;58.1;64.7;62.8;64.8;64.6;53.9;62.1;68.9;64.8;-1.6;63.2;70.4;2.0;Stable;3.0;43.7;16.7;En hausse
20206;G. Osho;108;Auxerre;Auxerre;Defender;1657.0;high;True;False;65.0;38.7;45.5;63.8;62.3;63.7;59.0;73.4;64.8;-1.7;63.1;72.0;;Non disponible;1.0;26.8;-16.7;En baisse
20545;J. Castelletto;83;Nantes;Nantes;Defender;2622.0;high;True;False;48.8;51.2;37.7;60.6;62.5;62.7;59.9;71.7;64.6;-1.7;62.9;84.8;0.7;Stable;5.0;50.7;35.0;En hausse
420292;H. Sekine;93;Reims;Reims;Defender;1016.0;medium;True;False;51.3;61.7;59.9;69.1;60.7;53.8;59.6;71.7;64.4;-1.8;62.6;78.9;2.0;Stable;5.0;19.1;5.6;En hausse
385569;E. Biumla;77;Angers;Angers;Midfielder;1334.0;medium;True;False;64.9;42.7;51.1;70.7;61.0;65.1;57.9;71.9;63.5;-1.7;61.8;74.0;;Non disponible;1.0;46.3;16.7;En hausse
47530;Sergio Akieme;93;Reims;Reims;Defender;2721.0;high;True;False;61.6;68.6;68.4;58.3;56.0;49.7;56.7;73.4;63.4;-1.8;61.5;80.5;12.7;En hausse;5.0;19.1;5.6;En hausse
3234;A. Bamba;77;Angers;Angers;Defender;1520.0;high;True;False;49.7;55.5;51.2;61.6;63.4;54.3;59.2;69.4;63.3;-2.0;61.3;73.3;;Non disponible;2.0;46.3;16.7;En hausse
128287;J. Chotard;82;Montpellier;Montpellier;Midfielder;1871.0;high;True;False;58.0;53.5;51.8;59.6;68.9;56.7;57.8;69.7;62.6;-1.9;60.6;72.6;-3.3;En baisse;5.0;9.0;-11.1;En baisse
174708;Y. Belkhdim;77;Angers;Angers;Midfielder;1525.0;high;True;False;69.9;53.0;56.8;45.4;77.1;59.7;59.1;66.8;62.2;-2.0;60.2;74.2;-0.7;Stable;4.0;46.3;16.7;En hausse
93671;Pedro Chirivella;83;Nantes;Nantes;Midfielder;2363.0;high;True;False;48.7;52.8;60.7;53.1;58.8;52.7;54.9;72.3;61.9;-2.1;59.8;86.7;5.7;En hausse;5.0;50.7;35.0;En hausse
389322;N. Sangui;93;Reims;Reims;Defender;1174.0;medium;True;False;51.2;59.2;67.3;70.9;58.5;53.2;58.3;65.7;61.3;-2.1;59.2;75.8;-7.0;En baisse;3.0;19.1;5.6;En hausse
126757;L. Brassier;94;Rennes;Rennes / Marseille / Stade Brestois 29;Defender;2015.0;high;True;False;56.4;88.1;40.1;47.0;54.5;52.3;57.6;63.5;60.0;-1.9;58.0;75.6;-9.7;En baisse;5.0;35.3;16.7;En hausse
162443;É. Youté;111;Le Havre;Le Havre;Defender;2327.0;high;True;False;46.0;37.6;38.2;57.3;61.3;52.5;54.4;67.9;59.8;-2.0;57.8;70.0;-11.0;En baisse;5.0;56.1;5.6;En hausse
20558;H. Magnetti;106;Stade Brestois 29;Stade Brestois 29;Midfielder;2335.0;high;True;False;62.4;46.0;47.7;55.5;61.7;55.6;53.8;68.6;59.7;-2.1;57.6;73.2;8.0;En hausse;5.0;43.7;16.7;En hausse
3336;F. Sacko;82;Montpellier;Montpellier;Defender;1235.0;medium;True;False;54.7;60.9;59.5;49.6;60.1;47.5;55.9;63.1;58.8;-2.1;56.7;74.0;;Non disponible;1.0;9.0;-11.1;En baisse
